[2021-04-30T09:22:49.152+0300][0.002s][info][gc] Min heap equals to max heap, disabling ShenandoahUncommit
[2021-04-30T09:22:49.167+0300][0.016s][info][gc] Heuristics ergonomically sets -XX:+ExplicitGCInvokesConcurrent
[2021-04-30T09:22:49.167+0300][0.016s][info][gc] Heuristics ergonomically sets -XX:+ShenandoahImplicitGCInvokesConcurrent
[2021-04-30T09:22:49.168+0300][0.017s][info][gc] Using Shenandoah
[2021-04-30T09:22:50.596+0300][1,446s][info][gc] GC(7) Pause Final Mark 0,296ms
[2021-04-30T09:22:50.596+0300][1,446s][info][gc] GC(7) Concurrent cleanup 109M->109M(128M) 0,035ms
[2021-04-30T09:22:50.597+0300][1,447s][info][gc] GC(7) Concurrent evacuation 1,067ms
[2021-04-30T09:22:50.597+0300][1,447s][info][gc] GC(7) Pause Init Update Refs 0,008ms
[2021-04-30T09:22:50.600+0300][1,449s][info][gc] GC(7) Concurrent update references 2,580ms
[2021-04-30T09:22:50.600+0300][1,450s][info][gc] GC(7) Pause Final Update Refs 0,053ms
[2021-04-30T09:22:50.600+0300][1,450s][info][gc] GC(7) Concurrent cleanup 111M->11M(128M) 0,062ms
[2021-04-30T09:22:50.751+0300][1,601s][info][gc] Trigger: Average GC time (11,53 ms) is above the time for allocation rate (618 MB/s) to deplete free headroom (6963K)
[2021-04-30T09:22:50.752+0300][1,601s][info][gc] GC(8) Concurrent reset 0,158ms
[2021-04-30T09:22:50.752+0300][1,601s][info][gc] GC(8) Pause Init Mark 0,143ms
[2021-04-30T09:22:50.756+0300][1,606s][info][gc] GC(8) Concurrent marking 4,167ms
[2021-04-30T09:22:50.757+0300][1,606s][info][gc] GC(8) Pause Final Mark 0,253ms
[2021-04-30T09:22:50.757+0300][1,606s][info][gc] GC(8) Concurrent cleanup 109M->109M(128M) 0,044ms
[2021-04-30T09:22:50.758+0300][1,607s][info][gc] GC(8) Concurrent evacuation 1,149ms
[2021-04-30T09:22:50.758+0300][1,607s][info][gc] GC(8) Pause Init Update Refs 0,005ms
[2021-04-30T09:22:50.760+0300][1,610s][info][gc] GC(8) Concurrent update references 2,206ms
[2021-04-30T09:22:50.760+0300][1,610s][info][gc] GC(8) Pause Final Update Refs 0,072ms
[2021-04-30T09:22:50.761+0300][1,610s][info][gc] GC(8) Concurrent cleanup 112M->12M(128M) 0,072ms
