[2021-04-30T09:34:57.960+0300][0.016s][debug][gc] ConcGCThreads: 2
[2021-04-30T09:34:57.960+0300][0.016s][debug][gc] ParallelGCThreads: 8
[2021-04-30T09:34:57.960+0300][0.016s][info ][gc] Using Concurrent Mark Sweep
[2021-04-30T09:35:06.500+0300][8,556s][info ][gc] GC(140) Pause Young (Allocation Failure) 113M->80M(123M) 1,785ms
[2021-04-30T09:35:06.551+0300][8,608s][info ][gc] GC(141) Pause Young (Allocation Failure) 114M->80M(123M) 1,601ms
[2021-04-30T09:35:06.603+0300][8,660s][info ][gc] GC(142) Pause Young (Allocation Failure) 114M->81M(123M) 1,614ms
[2021-04-30T09:35:06.654+0300][8,711s][info ][gc] GC(143) Pause Young (Allocation Failure) 115M->81M(123M) 2,056ms
[2021-04-30T09:35:06.707+0300][8,763s][info ][gc] GC(144) Pause Young (Allocation Failure) 115M->82M(123M) 1,713ms
[2021-04-30T09:35:06.754+0300][8,811s][info ][gc] GC(145) Pause Young (Allocation Failure) 116M->82M(123M) 1,702ms
[2021-04-30T09:35:06.805+0300][8,861s][info ][gc] GC(146) Pause Young (Allocation Failure) 116M->83M(123M) 1,918ms
[2021-04-30T09:35:06.870+0300][8,927s][info ][gc] GC(147) Pause Young (Allocation Failure) 117M->83M(123M) 1,549ms
[2021-04-30T09:35:06.922+0300][8,978s][info ][gc] GC(148) Pause Young (Allocation Failure) 118M->84M(123M) 1,382ms
[2021-04-30T09:35:06.989+0300][9,045s][info ][gc] GC(149) Pause Young (Allocation Failure) 118M->85M(123M) 1,368ms
[2021-04-30T09:35:07.038+0300][9,094s][info ][gc] GC(150) Pause Young (Allocation Failure) 119M->85M(123M) 1,609ms
[2021-04-30T09:35:07.089+0300][9,146s][info ][gc] GC(151) Pause Young (Allocation Failure) 119M->86M(123M) 1,966ms
[2021-04-30T09:35:07.138+0300][9,194s][info ][gc] GC(152) Pause Young (Allocation Failure) 120M->86M(123M) 1,748ms
[2021-04-30T09:35:07.185+0300][9,242s][info ][gc] GC(153) Pause Young (Allocation Failure) 120M->87M(123M) 1,870ms
[2021-04-30T09:35:07.237+0300][9,293s][info ][gc] GC(154) Pause Young (Allocation Failure) 121M->87M(123M) 1,792ms
[2021-04-30T09:35:07.287+0300][9,343s][info ][gc] GC(155) Pause Young (Allocation Failure) 121M->88M(123M) 1,741ms
[2021-04-30T09:35:07.287+0300][9,343s][debug][gc] GC(114) Concurrent active time: 0,203ms
[2021-04-30T09:35:07.287+0300][9,343s][info ][gc] GC(114) Concurrent Abortable Preclean 2110,243ms
[2021-04-30T09:35:07.287+0300][9,344s][debug][gc] GC(114) YG occupancy: 4084 K (39296 K)
[2021-04-30T09:35:07.289+0300][9,345s][info ][gc] GC(114) Pause Remark 89M->89M(123M) 1,963ms
[2021-04-30T09:35:07.289+0300][9,346s][info ][gc] GC(114) Concurrent Sweep
[2021-04-30T09:35:07.300+0300][9,356s][debug][gc] GC(114) Concurrent active time: 0,011ms
[2021-04-30T09:35:07.300+0300][9,357s][info ][gc] GC(114) Concurrent Sweep 10,920ms
[2021-04-30T09:35:07.300+0300][9,357s][info ][gc] GC(114) Concurrent Reset
[2021-04-30T09:35:07.300+0300][9,357s][debug][gc] GC(114) Concurrent active time: 0,000ms
[2021-04-30T09:35:07.300+0300][9,357s][info ][gc] GC(114) Concurrent Reset 0,095ms
[2021-04-30T09:35:07.341+0300][9,397s][info ][gc] GC(156) Pause Young (Allocation Failure) 111M->77M(123M) 2,111ms
[2021-04-30T09:35:07.341+0300][9,398s][info ][gc] GC(157) Pause Initial Mark 78M->78M(123M) 0,391ms
[2021-04-30T09:35:07.341+0300][9,398s][info ][gc] GC(157) Concurrent Mark
[2021-04-30T09:35:07.362+0300][9,418s][debug][gc] GC(157) Concurrent active time: 0,020ms
[2021-04-30T09:35:07.362+0300][9,418s][info ][gc] GC(157) Concurrent Mark 20,340ms
[2021-04-30T09:35:07.362+0300][9,418s][info ][gc] GC(157) Concurrent Preclean
[2021-04-30T09:35:07.362+0300][9,419s][debug][gc] GC(157) Concurrent active time: 0,000ms
[2021-04-30T09:35:07.362+0300][9,419s][info ][gc] GC(157) Concurrent Preclean 0,344ms
[2021-04-30T09:35:07.362+0300][9,419s][info ][gc] GC(157) Concurrent Abortable Preclean
[2021-04-30T09:35:07.393+0300][9,450s][info ][gc] GC(158) Pause Young (Allocation Failure) 112M->78M(123M) 1,616ms
[2021-04-30T09:35:07.440+0300][9,497s][info ][gc] GC(159) Pause Young (Allocation Failure) 112M->78M(123M) 1,727ms
[2021-04-30T09:35:07.492+0300][9,549s][info ][gc] GC(160) Pause Young (Allocation Failure) 113M->79M(123M) 1,908ms
[2021-04-30T09:35:07.544+0300][9,600s][info ][gc] GC(161) Pause Young (Allocation Failure) 113M->80M(123M) 1,744ms
[2021-04-30T09:35:07.595+0300][9,651s][info ][gc] GC(162) Pause Young (Allocation Failure) 114M->80M(123M) 1,668ms
[2021-04-30T09:35:07.644+0300][9,700s][info ][gc] GC(163) Pause Young (Allocation Failure) 114M->81M(123M) 1,605ms
[2021-04-30T09:35:07.691+0300][9,748s][info ][gc] GC(164) Pause Young (Allocation Failure) 115M->81M(123M) 1,762ms
[2021-04-30T09:35:07.741+0300][9,798s][info ][gc] GC(165) Pause Young (Allocation Failure) 115M->82M(123M) 1,874ms
[2021-04-30T09:35:07.790+0300][9,846s][info ][gc] GC(166) Pause Young (Allocation Failure) 116M->82M(123M) 2,114ms
[2021-04-30T09:35:07.844+0300][9,900s][info ][gc] GC(167) Pause Young (Allocation Failure) 116M->84M(123M) 2,616ms
[2021-04-30T09:35:07.901+0300][9,957s][info ][gc] GC(168) Pause Young (Allocation Failure) 118M->85M(123M) 3,663ms
